3,3
17,3
17,3
3,3
3,3
6,3
6,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
6,3
30,3
3,3
12,3
12,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,7
11,7
11,7
11,3
11,3
11,7
3,7
11,7
11,7
2,9
2,9
12,7
12,7
3,7
12,7
3,7
3,7
3,7
30,7
11,7
11,7
3,7
12,7
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
99,12
99,12
99,12
99,12
166,12
166,12
166,12
166,12
166,12
166,12
166,12
166,12
166,12
166,12
166,12
166,12
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
138,9
11,7
12,7
13,7
14,7
14,7
13,7
12,7
12,7
11,7
12,7
14,7
13,7
11,7
12,7
13,7
14,7
13,7
12,7
13,7
14,7
12,7
11,7
12,7
14,7
13,7
11,7
13,7
14,7
12,7
11,7
4,17
4,25
4,7
224,7
225,7
12,7
11,7
13,7
14,7
215,7
247,7
213,25
212,17
249,7
250,7
259,7
260,7
261,7
4,21
213,21
263,7
264,7
265,7
267,7
268,7
269,7
270,7
271,7
272,7
215,19
11,7
13,7
14,7
12,7
11,7
13,7
14,7
278,7
279,7
220,7
294,7
295,7
11,7
12,7
13,7
14,7
163,9
163,9
163,9
163,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
165,9
165,9
164,9
164,9
162,9
162,9
162,9
162,9
163,9
163,9
164,9
164,9
163,9
163,9
301,40
301,40
301,40
301,40
302,42
302,42
302,42
302,42
302,42
302,42
165,9
165,9
164,9
164,9
162,9
162,9
162,9
162,9
163,9
163,9
301,40
301,40
308,40
308,40
